"Fund Name","Strategy","Offering Type","Registration Date","Effective Date","Status"
"Capital Group KKR Core Plus+","Credit","Public","10/29/2024","","Pending Effectiveness"
"Capital Group KKR Multi-Sector+","Credit","Public","10/29/2024","","Pending Effectiveness"
"Strive American Energy Income Fund","Other","Public","10/25/2024","","Pending Effectiveness"
"John Hancock Asset Backed Securities Fund","Credit","Public","10/03/2024","","Pending Effectiveness"
"TCW Private Asset Income Fund","Credit","Public","09/16/2024","","Pending Effectiveness"
"Nuveen Enhanced CLO Income Fund","Credit","Public","08/30/2024","","Pending Effectiveness"
"Blackstone Private Multi-Asset Credit Fund","Credit","Public","08/21/2024","","Pending Effectiveness"
"Eagle Point Defensive Income Trust","Credit","Public","08/12/2024","","Pending Effectiveness"
"Rockefeller Municipal Opportunities Fund","Credit","Public","08/08/2024","","Pending Effectiveness"
"Sound Point Alternative Income Fund","Credit","Public","08/06/2024","","Pending Effectiveness"
"Russell Investments Strategic Credit Fund","Credit","Public","07/30/2024","","Pending Effectiveness"
"Prospect Enhanced Yield Fund","Credit","Public","07/23/2024","","Pending Effectiveness"
"Lord Abbett Municipal Opportunities Fund","Credit","Public","07/22/2024","","Pending Effectiveness"
"Callodine Specialty Income Fund","Credit","Public","07/16/2024","","Pending Effectiveness"
"Gladstone Alternative Income Fund","Credit","Public","07/12/2024","","Pending Effectiveness"
"Global X Venture Fund","PE/VC","Public","07/05/2024","","Pending Effectiveness"
"T. Rowe Price OHA Flexible Credit Income Fund","Credit","Public","07/02/2024","","Pending Effectiveness"
"MA Specialty Credit Income Fund","Credit","Public","07/01/2024","","Pending Effectiveness"
"Russell Investments New Economy Infrastructure Fund","PE/VC","Public","06/21/2024","","Pending Effectiveness"
"Sphinx Opportunity Fund II","PE/VC","Public","06/21/2024","","Pending Effectiveness"
"Wellington Global Multi-Strategy Fund","Multistrategy","Public","06/14/2024","","Pending Effectiveness"
"Startinvest Venture Fund","PE/VC","Public","06/06/2024","","Pending Effectiveness"
"Booster Income Opportunities Fund","Credit","Public","05/30/2024","","Pending Effectiveness"
"Diamond Hill SECURITIZED CREDIT FUND","Credit","Public","05/07/2024","09/30/2024","Active"
"Steadfast Structured Growth Fund","Credit","Public","04/30/2024","","Pending Effectiveness"
